ts_code,symbol,industry,price_end,price_start,change_pct
688059.SH,688059,机械基件,269.75651400000004,205.45129999999997,31.3
002655.SZ,002655,元器件,51.712992,39.505536000000006,30.9
600549.SH,600549,小金属,1068.486,816.52545,30.86
600236.SH,600236,水力发电,91.28467499999998,69.77650499999999,30.82
688702.SH,688702,半导体,203.35,155.58,30.7
002380.SZ,002380,软件服务,128.29689599999998,98.253536,30.58
002667.SZ,002667,小金属,92.58761,70.90636,30.58
301636.SZ,301636,电气设备,80.050432,61.339047,30.5
603557.SH,603557,服饰,3.71358,2.84602,30.48
300943.SZ,300943,机械基件,55.981282,42.958399,30.32
002001.SZ,002001,化学制药,1698.82911,1303.839642,30.29
688337.SH,688337,电器仪表,75.039188,57.607858,30.26
300394.SZ,300394,通信设备,3203.13104,2464.5498150000003,29.97
002606.SZ,002606,电气设备,59.381612000000004,45.707654000000005,29.92
600860.SH,600860,专用机械,26.22719,20.197760000000002,29.85
000010.SZ,000010,建筑工程,47.51775000000001,36.74275,29.33
001326.SZ,001326,电气设备,68.767925,53.194474,29.28
002634.SZ,002634,服饰,49.6248,38.4192,29.17
000609.SZ,000609,区域地产,57.69753,44.67489,29.15
002485.SZ,002485,商贸代理,15.233700000000002,11.802420000000001,29.07
000688.SZ,000688,铅锌,171.93389499999998,133.28979999999999,28.99
300044.SZ,300044,软件服务,61.44944,47.65,28.96
603960.SH,603960,汽车配件,87.88175,68.292109,28.69
300846.SZ,300846,软件服务,32.98584,25.64118,28.64
001400.SZ,001400,专用机械,127.25972,99.038184,28.5
600710.SH,600710,商贸代理,111.792,87.048704,28.42
605268.SH,605268,家居用品,15.41764,12.01116,28.36
002885.SZ,002885,元器件,104.921175,81.822498,28.23
688548.SH,688548,化工原料,26.32374,20.538639,28.17
000767.SZ,000767,火力发电,41.64894,32.50124,28.15
000035.SZ,000035,环境保护,37.115284,28.999282,27.99
300594.SZ,300594,运输设备,32.015080000000005,25.024575000000002,27.93
603256.SH,603256,玻璃,71.9888,56.3264,27.81
002112.SZ,002112,电气设备,85.164336,66.65329799999999,27.77
300911.SZ,300911,家用电器,78.83629599999999,61.723408,27.73
300881.SZ,300881,钢加工,60.404199999999996,47.294399999999996,27.72
