排名,股票代码,股票名称,最新收盘价,20日前收盘价,20日涨幅%,交易所,申万二级行业
276,688503,聚和材料,89.41,72.8,22.82,SH,电气设备
277,2355,兴民智通,7.32,5.96,22.82,SZ,
278,300490,华自科技,19.24,15.67,22.78,SZ,专用机械
279,688127,蓝特光学,56.4,45.95,22.74,SH,元器件
280,554,泰山石油,10.38,8.46,22.7,SZ,
281,688328,深科达,39.75,32.41,22.65,SH,专用机械
282,600513,联环药业,22.66,18.48,22.62,SH,化学制药
283,688807,优迅股份,242.0,197.4,22.59,SH,半导体
284,600522,中天科技,27.38,22.34,22.56,SH,通信设备
285,300936,中英科技,50.03,40.9,22.32,SZ,元器件
286,688297,中无人机,59.4,48.56,22.32,SH,航空
287,603968,醋化股份,14.75,12.06,22.31,SH,化工原料
288,301322,绿通科技,34.56,28.31,22.08,SZ,摩托车
289,300804,广康生化,45.71,37.45,22.06,SZ,农药化肥
290,2424,ST百灵,5.16,4.23,21.99,SZ,
291,300296,利亚德,8.55,7.01,21.97,SZ,元器件
292,7,全新好,13.27,10.88,21.97,SZ,
293,688190,云路股份,119.11,97.68,21.94,SH,矿物制品
294,600010,包钢股份,3.06,2.51,21.91,SH,普钢
295,601890,亚星锚链,12.64,10.37,21.89,SH,船舶
296,300651,金陵体育,30.0,24.63,21.8,SZ,文教休闲
297,688307,中润光学,56.3,46.24,21.76,SH,元器件
298,301150,中一科技,49.63,40.76,21.76,SZ,电气设备
299,300693,盛弘股份,46.21,37.96,21.73,SZ,电气设备
300,600470,六国化工,8.37,6.88,21.66,SH,农药化肥
301,301588,美新科技,26.86,22.08,21.65,SZ,家居用品
302,688667,菱电电控,96.45,79.3,21.63,SH,汽车配件
303,600468,百利电气,8.73,7.18,21.59,SH,电气设备
304,300666,江丰电子,148.37,122.03,21.58,SZ,半导体
305,603115,海星股份,28.95,23.82,21.54,SH,铝
306,603727,博迈科,20.09,16.53,21.53,SH,石油开采
307,688167,炬光科技,306.2,251.98,21.52,SH,元器件
308,301252,同星科技,37.28,30.69,21.47,SZ,机械基件
309,601877,正泰电器,35.5,29.23,21.45,SH,电气设备
310,605298,必得科技,51.13,42.1,21.45,SH,运输设备
311,862,银星能源,7.6,6.26,21.41,SZ,
312,300511,雪榕生物,7.46,6.15,21.3,SZ,种植业
313,1282,三联锻造,25.12,20.72,21.24,SZ,
314,2047,*ST宝鹰,5.08,4.19,21.24,SZ,
315,600525,ST长园,5.54,4.57,21.23,SH,电气设备
316,600256,广汇能源,6.8,5.61,21.21,SH,石油开采
317,301027,华蓝集团,21.3,17.58,21.16,SZ,建筑工程
318,301193,家联科技,28.87,23.83,21.15,SZ,家居用品
319,603057,紫燕食品,34.13,28.2,21.03,SH,食品
320,603093,南华期货,22.31,18.44,20.99,SH,多元金融
321,688048,长光华芯,157.5,130.2,20.97,SH,半导体
322,600979,广安爱众,5.44,4.51,20.62,SH,水力发电
323,300870,欧陆通,301.0,249.57,20.61,SZ,电气设备
324,301175,中科环保,7.38,6.12,20.59,SZ,环境保护
325,720,新能泰山,4.4,3.65,20.55,SZ,
326,688031,星环科技-U,253.0,209.94,20.51,SH,软件服务
327,600989,宝丰能源,28.63,23.76,20.5,SH,化工原料
328,2452,长高电新,12.08,10.03,20.44,SZ,
329,300018,中元股份,14.21,11.8,20.42,SZ,电气设备
330,301268,铭利达,23.24,19.3,20.41,SZ,机械基件
331,300855,图南股份,44.96,37.34,20.41,SZ,小金属
332,688272,富吉瑞,35.88,29.81,20.36,SH,元器件
333,301285,鸿日达,87.4,72.62,20.35,SZ,元器件
334,301251,威尔高,65.36,54.32,20.32,SZ,元器件
335,603150,万朗磁塑,56.05,46.63,20.2,SH,塑料
336,301489,思泉新材,194.95,162.23,20.17,SZ,元器件
337,2812,恩捷股份,61.25,50.99,20.12,SZ,
338,300985,致远新能,25.09,20.89,20.11,SZ,汽车配件
339,2339,积成电子,13.09,10.9,20.09,SZ,
340,300931,通用电梯,13.1,10.91,20.07,SZ,运输设备
341,600330,天通股份,16.28,13.56,20.06,SH,专用机械
342,300448,浩云科技,11.05,9.21,19.98,SZ,软件服务
343,603097,江苏华辰,41.05,34.22,19.96,SH,电气设备
344,603138,海量数据,21.17,17.65,19.94,SH,软件服务
345,2169,智光电气,15.59,13.0,19.92,SZ,
346,688523,航天环宇,71.94,60.05,19.8,SH,航空
347,601958,金钼股份,24.58,20.52,19.79,SH,小金属
348,600645,中源协和,30.9,25.8,19.77,SH,医疗保健
349,300279,和晶科技,10.32,8.62,19.72,SZ,元器件
350,301179,泽宇智能,20.06,16.76,19.69,SZ,软件服务
351,601,韶能股份,6.14,5.13,19.69,SZ,
352,2733,雄韬股份,24.07,20.12,19.63,SZ,
353,600396,华电辽能,3.66,3.06,19.61,SH,火力发电
354,968,蓝焰控股,9.77,8.17,19.58,SZ,
355,920833,美心翼申,20.66,17.28,19.56,SZ,
356,688097,博众精工,47.73,39.93,19.53,SH,专用机械
357,301511,德福科技,35.48,29.69,19.5,SZ,电气设备
358,301278,快可电子,43.89,36.74,19.46,SZ,电气设备
359,920375,派诺科技,16.88,14.13,19.46,SZ,
360,300982,苏文电能,24.45,20.47,19.44,SZ,建筑工程
361,301500,飞南资源,24.69,20.68,19.39,SZ,环境保护
362,688251,井松智能,32.09,26.88,19.38,SH,专用机械
363,300442,润泽科技,93.16,78.04,19.37,SZ,软件服务
364,600773,西藏城投,16.1,13.49,19.35,SH,区域地产
365,920207,众诚科技,36.82,30.85,19.35,SZ,
366,300899,*ST凯鑫,40.68,34.1,19.3,SZ,环境保护
367,688433,华曙高科,100.44,84.3,19.15,SH,专用机械
368,2937,兴瑞科技,28.55,23.97,19.11,SZ,
369,2887,绿茵生态,11.53,9.68,19.11,SZ,
370,600984,建设机械,4.74,3.98,19.1,SH,工程机械
371,600406,国电南瑞,30.01,25.2,19.09,SH,电气设备
372,2921,联诚精密,27.02,22.7,19.03,SZ,
373,993,闽东电力,14.46,12.15,19.01,SZ,
374,603381,永臻股份,26.05,21.9,18.95,SH,电气设备
375,601868,中国能建,2.89,2.43,18.93,SH,建筑工程
376,605007,五洲特纸,16.79,14.12,18.91,SH,造纸
377,300285,国瓷材料,35.51,29.88,18.84,SZ,陶瓷
378,1230,劲旅环境,27.84,23.43,18.82,SZ,
379,301388,欣灵电气,39.3,33.09,18.77,SZ,电气设备
380,300304,云意电气,15.19,12.79,18.76,SZ,汽车配件
381,2628,成都路桥,5.52,4.65,18.71,SZ,
382,688229,博睿数据,85.95,72.42,18.68,SH,软件服务
383,688282,理工导航,82.88,69.85,18.65,SH,通信设备
384,571,新大洲A,7.45,6.28,18.63,SZ,
385,338,潍柴动力,28.16,23.74,18.62,SZ,
386,600089,特变电工,32.23,27.2,18.49,SH,电气设备
387,2099,海翔药业,7.5,6.33,18.48,SZ,
388,688319,欧林生物,28.54,24.09,18.47,SH,生物制药
389,300449,汉邦高科,8.53,7.2,18.47,SZ,IT设备
390,300338,ST开元,3.98,3.36,18.45,SZ,文教休闲
391,600331,宏达股份,19.25,16.26,18.39,SH,农药化肥
392,603257,中国瑞林,69.86,59.01,18.39,SH,建筑工程
393,603922,金鸿顺,21.52,18.18,18.37,SH,汽车配件
394,2595,豪迈科技,98.5,83.36,18.16,SZ,
395,300125,*ST聆达,8.92,7.55,18.15,SZ,电气设备
396,600312,平高电气,25.02,21.18,18.13,SH,电气设备
397,2633,申科股份,19.16,16.22,18.13,SZ,
398,301658,首航新能,35.46,30.02,18.12,SZ,电气设备
399,688069,德林海,28.25,23.92,18.1,SH,环境保护
400,2207,准油股份,13.13,11.12,18.08,SZ,
